MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338171587,2023-06-20 23:05:43,36.92203,-76.18131,0.1,264.1,511.0,MIRASOL,,,36.0,,13.0,8.0,,,B
477696400,2023-06-20 23:05:43,37.23065,-76.1143,0.1,168.1,44.0,CSSC GLADSTONE,IMO9853917,VRTY7,70.0,1.0,255.0,43.0,8.9,70.0,A
366896390,2023-06-20 23:05:45,36.92564,-76.17813,0.0,327.2,511.0,G L 55,,WDB4250,90.0,3.0,48.0,18.0,,33.0,A
218843000,2023-06-20 23:05:46,36.84586,-75.79892,8.3,299.7,303.0,CMA CGM BUTTERFLY,IMO9365790,DFPI2,70.0,0.0,350.0,42.0,15.0,70.0,A
367656750,2023-06-20 23:05:46,36.92589,-76.17833,0.1,172.9,511.0,MARY BENNETT,,WDH8310,31.0,0.0,21.0,7.0,,52.0,A
538006153,2023-06-20 23:05:47,36.82197,-75.66858,8.8,260.0,258.0,SEACOR DIAMOND,IMO9225495,V7FV9,90.0,0.0,72.0,16.0,5.0,99.0,A
367493000,2023-06-20 23:05:49,36.95445,-76.04227,1.0,258.1,316.0,DOUGLAS B.MACKIE,IMO9807073,WDBI,90.0,3.0,148.0,28.0,8.5,90.0,A
367286000,2023-06-20 23:05:52,37.00743,-76.23057,13.6,285.1,511.0,CG BEAR,,NRKN,90.0,0.0,82.0,11.0,,55.0,A
538010258,2023-06-20 23:05:52,36.94411,-75.9625,8.2,279.5,280.0,SUBSEA RESPONDER 1,IMO9201645,V7A5816,70.0,0.0,65.0,16.0,4.5,70.0,A
367607250,2023-06-20 23:05:54,36.72753,-76.24349,0.0,45.1,511.0,ROCKBRIDGE,,WDH3428,90.0,15.0,48.0,,,0.0,A
538006411,2023-06-20 23:05:55,37.25751,-76.09093,0.2,132.5,34.0,MACKENZIE,IMO9703588,V7MW5,70.0,1.0,199.0,,,70.0,A
367096850,2023-06-20 23:05:55,36.90936,-75.74718,11.7,261.6,511.0,RUDEE ANGLER,,WDC9042,60.0,,23.0,6.0,,,B
367711530,2023-06-20 23:05:55,36.90685,-76.08931,0.1,91.1,511.0,CAPE CHARLES,,WDI5730,90.0,15.0,11.0,4.0,,50.0,A
367313760,2023-06-20 23:05:56,36.92211,-76.18788,0.0,290.4,511.0,ST JOHNS RIVER,,WDD9610,60.0,15.0,18.0,5.0,,0.0,A
368869000,2023-06-20 23:05:57,36.91888,-76.18126,0.0,145.2,511.0,USS O'KANE,,NOKN,90.0,15.0,154.0,20.0,9.4,35.0,A
368150450,2023-06-20 23:06:00,37.26611,-76.021,0.1,351.7,88.0,JOEY D,,WDL6409,30.0,7.0,0.0,0.0,0.0,30.0,A
249830000,2023-06-20 23:06:01,36.75907,-75.61664,0.0,169.0,70.0,ZIM LUANDA,IMO9403229,9HA2029,70.0,1.0,260.0,32.0,12.6,71.0,A
367060910,2023-06-20 23:06:03,36.92198,-76.18406,3.6,360.0,511.0,WOLF RIVER,,WDC6760,90.0,8.0,12.0,4.0,,53.0,A
366893270,2023-06-20 23:06:03,36.90681,-76.08889,0.1,229.7,511.0,PATUXENT,,WDB3971,90.0,0.0,16.0,5.0,,50.0,A
338302428,2023-06-20 23:06:05,36.86911,-76.00513,0.0,91.4,511.0,SWEPT AWAY IV,,,37.0,,15.0,4.0,,,B
263957870,2023-06-20 23:06:06,36.3017,-76.21784,1.1,360.0,511.0,BUZIO ONE,,CRA6855,36.0,,12.0,6.0,,,B
338199461,2023-06-20 23:06:07,36.71969,-76.23476,0.1,17.5,511.0,ELISE,,,37.0,,,,,,B
368283570,2023-06-20 23:06:07,36.83649,-76.24799,0.0,297.9,511.0,MATTY T,IMO8989939,WDN4716,33.0,0.0,22.0,8.0,8.4,31.0,A
366880750,2023-06-20 23:06:08,36.90685,-76.08903,0.3,71.2,511.0,VIRGINIA,,WDB2867,90.0,0.0,16.0,5.0,,50.0,A
538009420,2023-06-20 23:06:09,37.17727,-76.13657,0.0,314.3,46.0,BLUE CECIL,IMO9300207,V7A4708,70.0,1.0,177.0,29.0,5.7,70.0,A
338190343,2023-06-20 23:06:11,36.33645,-75.9573,7.5,24.6,511.0,MR CHIPS,,,37.0,,23.0,,,,B
338055000,2023-06-20 23:06:11,36.91654,-76.1746,0.0,323.8,104.0,ALYSSA CHOUEST,IMO9530058,KYSH,70.0,5.0,94.0,18.0,6.0,70.0,A
538006801,2023-06-20 23:06:11,37.18562,-76.17583,0.1,232.8,50.0,PAOLO TOPIC,IMO9726255,V7RI2,70.0,1.0,199.0,,,70.0,A
366999705,2023-06-20 23:06:12,36.91298,-76.17651,0.0,287.0,197.0,CG POMPANO,,NVIP,90.0,0.0,26.0,5.0,,0.0,A
368081170,2023-06-20 23:06:14,36.91463,-76.18389,0.1,62.0,511.0,HUNTSMAN,,WDK7100,52.0,0.0,23.0,9.0,3.0,52.0,A
338090438,2023-06-20 23:06:15,36.92296,-76.18864,0.0,0.0,511.0,DOLLY II,,,37.0,,13.0,4.0,,,B
636021288,2023-06-20 23:06:15,37.27252,-76.14157,0.0,133.4,44.0,EMERALD DINGHAI,IMO9936252,5LDF2,70.0,1.0,229.0,36.0,8.0,70.0,A
367799460,2023-06-20 23:06:15,36.86935,-76.00525,0.0,360.0,511.0,MAGIC,,WDJ6605,37.0,,,,,,B
538005251,2023-06-20 23:06:15,37.19815,-76.1336,0.2,172.0,49.0,STRANGE ATTRACTOR,IMO9303065,V7CE5,70.0,1.0,189.0,32.0,12.6,70.0,A
368172490,2023-06-20 23:06:18,36.95,-76.00242,18.7,294.1,511.0,SUSQUEHANNA,,WDL8747,50.0,15.0,18.0,6.0,0.0,50.0,A
368118130,2023-06-20 23:06:19,36.92054,-76.16941,0.0,137.7,511.0,W3 DREDGE 112,,WDL3073,33.0,,40.0,15.0,,,B
368293450,2023-06-20 23:06:20,36.72011,-76.23497,0.0,360.0,511.0,BLUE WANDER,,WDN5825,37.0,,10.0,4.0,,,B
338229343,2023-06-20 23:06:21,36.83098,-75.97636,0.0,143.4,511.0,LURE EM INN,,,37.0,,15.0,,,,B
368194470,2023-06-20 23:06:21,36.34942,-75.94842,0.0,360.0,511.0,INDIGO,,WDM3134,37.0,,31.0,14.0,,,B
636015771,2023-06-20 23:06:24,37.02266,-76.05171,15.0,321.4,325.0,CARNATION ACE,IMO9544920,D5CS7,70.0,0.0,199.0,32.0,9.7,70.0,A
367187120,2023-06-20 23:06:24,36.92215,-76.18927,0.0,360.0,511.0,PEARL RIVER,,WDD7486,90.0,0.0,11.0,4.0,,53.0,A
338433285,2023-06-20 23:06:25,36.8321,-75.97351,0.0,360.0,511.0,SAMURAI,,,37.0,,13.0,5.0,,,B
369857000,2023-06-20 23:06:29,36.91591,-76.16685,0.0,16.2,191.0,NS HUGO,IMO8118011,,90.0,5.0,54.0,12.0,,35.0,A
367023320,2023-06-20 23:06:29,36.90689,-76.08926,0.0,330.5,511.0,SWIFT,,WDC4341,90.0,5.0,15.0,5.0,,50.0,A
338306739,2023-06-20 23:06:30,36.87403,-76.10847,0.0,126.7,511.0,BIG DOG IV,,,37.0,,15.0,4.0,,,B
210014000,2023-06-20 23:06:32,37.2154,-76.16788,0.1,288.0,39.0,PANAMAX BREEZE,IMO9278430,5BFY4,70.0,1.0,224.0,32.0,14.0,70.0,A
367512630,2023-06-20 23:06:34,37.26383,-76.01517,0.0,261.8,293.0,NORFOLK,,WDG2147,50.0,0.0,16.0,,,50.0,A
636017540,2023-06-20 23:06:36,37.17476,-76.15387,14.4,353.6,357.0,SIEM CONFUCIUS,IMO9841017,D5LL5,70.0,0.0,200.0,38.0,9.1,70.0,A
367592310,2023-06-20 23:06:37,36.83125,-75.97586,0.2,101.1,511.0,COURTNEY BETH,,WDG9899,37.0,,,,,,B
477301100,2023-06-20 23:06:38,37.26725,-76.09338,0.1,152.4,19.0,JING LU HAI,IMO9747558,VROT6,70.0,1.0,225.0,,,70.0,A
338450938,2023-06-20 23:06:39,36.86925,-76.00535,0.0,360.0,511.0,GALLANT BABY III,,,37.0,,17.0,6.0,,,B
351047000,2023-06-20 23:06:40,36.96206,-75.69422,14.0,279.5,281.0,PUPLINGE,IMO9782156,3FDO8,70.0,0.0,,,,90.0,A
255806038,2023-06-20 23:06:41,36.95632,-76.01618,10.3,91.6,90.0,NORTHERN JUBILEE,IMO9450337,CQIQ5,70.0,0.0,333.0,43.0,14.5,79.0,A
338246966,2023-06-20 23:06:43,36.90418,-76.07172,0.1,360.0,511.0,PLAN B,,PLAN B,37.0,,18.0,6.0,,,B
367769180,2023-06-20 23:06:44,37.04269,-76.15102,8.3,351.8,355.0,CLAYTON W MORAN,IMO9812561,WDJ3566,31.0,0.0,,,,52.0,A
367593880,2023-06-20 23:06:45,36.92395,-76.18976,0.0,183.9,511.0,ROCKHOPPER,,WDH2049,37.0,,13.0,,,,B
368042970,2023-06-20 23:06:46,36.94269,-75.97032,17.1,279.0,511.0,HAMPTON ROADS,,WDK3209,50.0,0.0,19.0,6.0,2.0,50.0,A
218843000,2023-06-20 23:06:47,36.84702,-75.80144,8.3,299.9,303.0,CMA CGM BUTTERFLY,IMO9365790,DFPI2,70.0,0.0,350.0,42.0,15.0,70.0,A
232018783,2023-06-20 23:06:49,37.22605,-76.12706,0.3,147.2,55.0,LAURENCE FRANCOISE,IMO9827061,MECR7,75.0,1.0,229.0,32.0,7.3,75.0,A
218427000,2023-06-20 23:06:50,36.93858,-75.97867,10.5,132.9,126.0,SHANGHAI EXPRESS,IMO9501368,DJBF2,71.0,0.0,366.0,48.0,11.5,71.0,A
367109980,2023-06-20 23:06:53,36.30297,-76.20293,0.0,176.9,511.0,MAKAI,,,37.0,,11.0,4.0,,,B
366896390,2023-06-20 23:06:55,36.92567,-76.1781,0.0,315.4,511.0,G L 55,,WDB4250,90.0,3.0,48.0,18.0,,33.0,A
368212910,2023-06-20 23:06:56,36.92247,-76.18315,0.0,112.6,156.0,HOLOKAI,,WDM5134,36.0,,16.0,5.0,,,B
538006153,2023-06-20 23:06:56,36.8215,-75.67207,9.0,260.6,260.0,SEACOR DIAMOND,IMO9225495,V7FV9,90.0,0.0,72.0,16.0,5.0,99.0,A
367656750,2023-06-20 23:06:57,36.92587,-76.17834,0.1,187.3,511.0,MARY BENNETT,,WDH8310,31.0,0.0,21.0,7.0,,52.0,A
367493000,2023-06-20 23:06:58,36.95434,-76.04257,0.7,232.3,337.0,DOUGLAS B.MACKIE,IMO9807073,WDBI,90.0,3.0,148.0,28.0,8.5,90.0,A
636014720,2023-06-20 23:06:58,37.21422,-76.11488,0.0,307.3,52.0,PROTEAS,IMO9453509,A8WD7,70.0,1.0,228.0,38.0,14.9,70.0,A
367286000,2023-06-20 23:07:01,37.00868,-76.23578,13.6,284.8,511.0,CG BEAR,,NRKN,90.0,0.0,82.0,11.0,,55.0,A
477700600,2023-06-20 23:07:02,37.26,-76.14141,0.1,310.8,47.0,GOLDEN BULL,IMO9438626,VRKC7,70.0,1.0,224.0,32.0,14.5,79.0,A
367607250,2023-06-20 23:07:04,36.72756,-76.2435,0.0,48.2,511.0,ROCKBRIDGE,,WDH3428,90.0,15.0,48.0,,,0.0,A
367313760,2023-06-20 23:07:05,36.92212,-76.18788,0.0,290.4,511.0,ST JOHNS RIVER,,WDD9610,60.0,15.0,18.0,5.0,,0.0,A
263957870,2023-06-20 23:07:07,36.30168,-76.21777,0.4,360.0,40.0,BUZIO ONE,,CRA6855,36.0,,12.0,6.0,,,B
368869000,2023-06-20 23:07:08,36.91892,-76.18119,0.1,100.9,511.0,USS O'KANE,,NOKN,90.0,15.0,154.0,20.0,9.4,35.0,A
209877000,2023-06-20 23:07:08,37.21192,-76.0985,0.0,204.3,38.0,TROODOS OAK,IMO9875135,5BKZ5,70.0,1.0,228.0,35.0,8.0,70.0,A
368282860,2023-06-20 23:07:08,36.3496,-75.94828,0.0,360.0,511.0,KIKI,,WDN4642,37.0,,20.0,5.0,,,B
368150450,2023-06-20 23:07:09,37.2661,-76.021,0.1,268.3,87.0,JOEY D,,WDL6409,30.0,7.0,0.0,0.0,0.0,30.0,A
338678000,2023-06-20 23:07:09,36.91621,-76.16848,0.0,301.2,10.0,DOLORES CHOUEST,IMO8225931,WCP8847,70.0,5.0,54.0,12.0,4.0,35.0,A
366893270,2023-06-20 23:07:11,36.90684,-76.08888,0.1,161.8,511.0,PATUXENT,,WDB3971,90.0,0.0,16.0,5.0,,50.0,A
338190343,2023-06-20 23:07:12,36.33833,-75.95607,7.6,28.7,511.0,MR CHIPS,,,37.0,,23.0,,,,B
338432501,2023-06-20 23:07:14,36.83101,-75.97645,0.0,360.0,511.0,MY NAVY,,,37.0,,13.0,6.0,,,B
316047083,2023-06-20 23:07:15,36.71917,-76.23196,0.0,79.6,511.0,KING AND I,,,37.0,,24.0,6.0,,,B
367711530,2023-06-20 23:07:15,36.90685,-76.08932,0.1,289.2,511.0,CAPE CHARLES,,WDI5730,90.0,15.0,11.0,4.0,,50.0,A
538009864,2023-06-20 23:07:15,37.24698,-76.1207,0.0,289.2,36.0,VEGA FALKTIND,IMO9497426,V7A5267,70.0,1.0,177.0,28.0,10.2,70.0,A
368283570,2023-06-20 23:07:16,36.83646,-76.24801,0.0,292.6,511.0,MATTY T,IMO8989939,WDN4716,33.0,0.0,22.0,8.0,8.4,31.0,A
338323111,2023-06-20 23:07:17,36.8693,-76.00558,0.0,360.0,511.0,VIENNA,,,37.0,,16.0,5.0,,,B
366880750,2023-06-20 23:07:17,36.90684,-76.08903,0.2,189.6,511.0,VIRGINIA,,WDB2867,90.0,0.0,16.0,5.0,,50.0,A
367663610,2023-06-20 23:07:18,36.71918,-76.23203,0.2,208.7,511.0,PENULTIMATE,,WDH8992,37.0,,22.0,,,,B
368172490,2023-06-20 23:07:19,36.95272,-76.00876,22.9,304.2,511.0,SUSQUEHANNA,,WDL8747,50.0,15.0,18.0,6.0,0.0,50.0,A
366999705,2023-06-20 23:07:21,36.91296,-76.17653,0.0,288.0,198.0,CG POMPANO,,NVIP,90.0,0.0,26.0,5.0,,0.0,A
367060910,2023-06-20 23:07:22,36.92135,-76.18131,7.3,106.8,511.0,WOLF RIVER,,WDC6760,90.0,8.0,12.0,4.0,,53.0,A
368081170,2023-06-20 23:07:23,36.91464,-76.18388,0.0,67.2,511.0,HUNTSMAN,,WDK7100,52.0,0.0,23.0,9.0,3.0,52.0,A
367574340,2023-06-20 23:07:24,36.91985,-76.1817,0.0,263.1,93.0,HOS RED DAWN,IMO9647643,WDG8133,90.0,5.0,89.0,19.0,5.9,70.0,A
367096850,2023-06-20 23:07:25,36.90734,-75.75302,11.8,262.1,511.0,RUDEE ANGLER,,WDC9042,60.0,,23.0,6.0,,,B
338252773,2023-06-20 23:07:28,36.82858,-75.97171,0.0,103.0,511.0,ENVELOPEUS,,,37.0,,,,,,B
636015771,2023-06-20 23:07:30,37.02635,-76.05523,14.9,322.1,325.0,CARNATION ACE,IMO9544920,D5CS7,70.0,0.0,199.0,32.0,9.7,70.0,A
366999614,2023-06-20 23:07:33,36.91292,-76.17635,0.0,285.0,195.0,CG SAILFISH,,NCNF,90.0,5.0,26.0,5.0,,55.0,A
367187120,2023-06-20 23:07:34,36.92216,-76.18927,0.0,360.0,511.0,PEARL RIVER,,WDD7486,90.0,0.0,11.0,4.0,,53.0,A
3381234,2023-06-20 23:07:36,36.92268,-76.18528,0.0,27.3,511.0,ZEEPAARD,,BO12345,36.0,,0.0,0.0,,,B
338360443,2023-06-20 23:07:37,37.06922,-76.24802,7.4,190.0,192.0,NAUTI GYPSEA,,,36.0,,14.0,8.0,,,B
366757230,2023-06-20 23:07:37,36.91953,-76.18242,0.0,259.5,272.0,GARY CHOUEST,IMO9132313,WCY7287,90.0,5.0,81.0,18.0,7.0,39.0,A
354048000,2023-06-20 23:07:40,37.23615,-76.08867,0.2,156.1,40.0,SAKIZAYA ACE,IMO9656400,3FKU2,70.0,1.0,225.0,32.0,14.1,70.0,A
538010258,2023-06-20 23:07:42,36.9446,-75.96771,8.3,274.6,279.0,SUBSEA RESPONDER 1,IMO9201645,V7A5816,70.0,0.0,65.0,16.0,4.5,70.0,A
636017540,2023-06-20 23:07:42,37.17923,-76.15455,14.4,353.0,357.0,SIEM CONFUCIUS,IMO9841017,D5LL5,70.0,0.0,200.0,38.0,9.1,70.0,A
